и, and
наблюдать, watch
противник, the enemy
волна, wave
погибнуть, die
разгова́ривать, talk
про́чий, other
реализация, implementation
страница, page
формирование, the formation of
жи́тель, resident
устроить, to arrange
есть, there
красота́, beauty
правильно, correctly
благодаря́, thanks
пти́ца, bird
собира́ться, to gather
достава́ть, to get
растение, plant
тень, shadow
явление, the phenomenon
храм, the temple
за́пах, the smell
слабый, weak
во́дка, vodka
нали́чие, the presence of
пожа́луй, perhaps
яркий, bright
у́жас, horror
одежда, clothing
ездить, ride
кресло, chair
больно́й, patient
поезд, train
университе́т, University
ле́тний, summer
дополнительный, additional
понравиться, like
тради́ция, tradition
а́дрес, address
дека́брь, December
ладо́нь, palm
по́здно, late
сведение, mixing
правильный, correct
цветок, flower
выполнять, to perform
лесной, forest
лидер, leader
октя́брь, October
занятие, lesson
заставить, to make
объяснять, to explain
сентя́брь, September
помещение, the room
про́чее, other
согла́сно, according
янва́рь, January
выполнить, to perform
зри́тель, the viewer
постепе́нно, gradually
резко, sharply
реда́кция, edition
указать, to specify
у́мный, smart
стиль, style
весна́, spring
северный, North
фактор, factor
а́вгуст, August
изве́стие, news
зависимость, dependence
охрана, protection
ясный, clear
ми́лый, cute
оборудование, equipment
светлый, light
конце́рт, concert
отделение, Department
расход, consumption
редкий, rare
выставка, exhibition
мили́ция, police
верный, true
вздохну́ть, sigh
юридический, legal
находи́ть, find
переход, the transition
закончить, finish
эпоха, age
за́пад, West
признать, to recognize
произведение, work
ро́дина, homeland
собственность, property
та́йна, mystery
хотя́, although
четвертый, fourth
администрати́вный, administrative
трава́, grass
доходи́ть, walk
лагерь, camp
во-пе́рвых, first
имущество, property
кивну́ть, to nod
кровать, bed
поня́тно, it is clear
насто́лько, so
обратить, to pay
узкий, narrow
абсолю́тно, absolutely
аппарат, apparatus
не́сколько, several
очеви́дно, obviously
середина, the middle
узнавать, to learn
встре́титься, to meet
март, March
художественный, art
клиент, client
ли́чно, personally
да́ма, lady
обратно, back
предусма́тривать, to provide
фронт, front
дре́вний, ancient
отрасль, industry
стул, chair
беседа, conversation
массовый, mass
обеспечивать, to ensure
генеральный, General
замеча́тельный, wonderful
хоть, though
дви́гаться, move
законода́тельство, legislation
продажа, sale
повышение, increase
содержать, to contain
страшно, scary
пре́жде, first
музе́й, Museum
задний, rear
региона́льный, regional
след, mark
и́з-под, under
полко́вник, Colonel
приезжа́ть, to come
сомнение, question
понимание, understanding
здоро́вый, healthy
держа́ться, keep
обеспечить, to ensure
слегка, slightly
апре́ль, April
князь, Prince
поступа́ть, to do
ры́ба, fish
привыка́ть, used
активный, active
литерату́рный, literary
открывать, open
собственно, actually
ду́ма, Duma
еще, more
неуже́ли, do
кодекс, code
сутки, day
чу́до, miracle
выраста́ть, grow
шея, neck
зайти́, go
судья, the judge
острый, acute
посвяща́ть, to devote
стремиться, seek
богатый, rich
крыша, roof
настрое́ние, mood
отсю́да, here
творческий, creative
не́что, something
поток, stream
мягкий, soft
ночно́й, night
должность, post
преступле́ние, crime
измени́ться, to change
мозг, the brain
нало́говый, tax
то́лстый, thick
честь, honor
пост, post
удивля́ться, wonder
падать, fall
евре́й, Jew
звучать, sound
бедный, poor
ию́нь, June
много, many
со́тня, hundred
верхний, top
суметь, to be able
ве́чный, eternal
во́семь, eight
ли́шний, extra
морской, marine
разработать, to develop
нижний, the bottom
спокойный, calm
поговори́ть, talk
дождь, the rain
меньше, less
лестница, stairs
сухой, dry
ах, Oh
лететь, to fly
совершить, to make
дача, the Lodge
синий, blue
про́сто, just
установка, installation
появление, the emergence of
получение, getting
сего́дняшний, today
строить, build
образец, sample
труба, pipe
гла́вное, main
ко́нчиться, end
медицинский, medical
привози́ть, to bring
мно́гие, many
о́сень, autumn
вряд, hardly
сложи́ться, be
оставлять, leave
полагать, put
висе́ть, hanging
костю́м, costume
свежий, fresh
трудный, hard
уголо́вный, criminal
баба, Baba
ценность, value
обя́занность, duty
пье́са, play
чей, whose
таблица, table
вино́, wine
воспоминание, memory
ло́шадь, horse
повторить, repeat
кто́-нибудь, someone
сыграть, play
коллега, colleague
органи́зм, the body
случайно, accidentally
ученик, student
учреждение, institution
высоко, highly
открытие, opening
спаса́ть, save
том, Tom
черта, hell
измени́ть, change
повторять, repeat
характеристика, description
по-пре́жнему, still
яви́ться, be
выполнение, execution
оборо́на, defense
выступле́ние, speech
температура, temperature
замечать, notice
перспектива, perspective
подать, submit
подру́га, friend
приказ, order
вверх, up
жертва, the victim
назначить, assign
протяну́ть, stretching
рестора́н, restaurant
километр, kilometer
сохранить, save
спор, dispute
попыта́ться, try
расположи́ть, positioning
испо́льзоваться, be used
вкус, taste
наско́лько, how
признак, sign
промышленность, industry
стра́нно, strange
америка́нец, American
лоб, forehead
заключение, conclusion
вероятно, probably
восто́к, East
вро́де, like
исключение, exception
отпра́виться, go
желтый, yellow
молча, silently
ключ, key
постановление, resolution
сади́ться, take
же, same
неме́дленно, immediately
слой, layer
бок, side
встреча́ть, to meet
говориться, they say
крикнуть, to shout
спустя́, later
ию́ль, July
мощный, powerful
перевод, translation
секретарь, Secretary
кусок, piece
гото́вить, cook
слух, hearing
учить, to teach
гореть, burning
испытывать, experience
польза, use
звонок, call
выделить, select
обстановка, furnished
отту́да, from there
ми́мо, by
поддерживать, to support
подниматься, climb
чино́вник, official
следить, watch
соглашение, agreement
деталь, item
ру́сский, English
деревянный, wooden
тишина́, silence
зарплата, salary
тре́боваться, be required
билет, ticket
включать, enable
пода́рок, gift
тюрьма, prison
ящик, box
конкурс, competition
полезный, useful
книжка, book
собирать, to collect
изучение, the study
дальний, far
менять, to change
ска́жем, say
делаться, be done
просьба, please
царь, king
публика, public
смех, laughter
покупать, buy
сообщение, message
угроза, the threat
беда́, the trouble
домашний, home
до́лжно, should
предполагать, assume
традиционный, traditional
терять, to lose
специа́льно, specially
блок, block
достижение, achievement
назначение, the purpose
рекла́ма, advertising
жесткий, hard
крепкий, strong
портрет, portrait
послать, send
буква́льно, literally
винова́тый, blame
допустить, to prevent
значительно, much
масло, oil
культу́рный, cultural
стакан, glass
вокру́г, around
прия́тный, pleasant
прочита́ть, read
урок, lesson
присутствовать, be present
часы, watch
взглянуть, look
крик, cry
мечта́ть, to dream
подписать, sign
во-вторы́х, secondly
тво́рчество, creativity
телеви́зор, TV
осуществлять, to carry out
инструмент, tool
поступа́ть, to do
концепция, the concept
круглый, round
лейтена́нт, Lieutenant
экран, screen
дно, the bottom
реальность, reality
понятный, clear
голубой, blue
канал, channel
удиви́тельный, amazing
мясо, meat
знакомый, friend
щека, cheek
мужско́й, male
о, about
правовой, legal
конфликт, conflict
переговоры, negotiations
пятьдеся́т, fifty
больно́й, patient
запись, record
пора, time
вагон, car
гото́виться, to prepare
мертвый, dead
площадка, Playground
последствие, the consequence
пя́тый, fifth
сотрудничество, cooperation
б, b
зеркало, mirror
тон, tone
захотеть, want
совместный, joint
акаде́мия, Academy
боро́ться, to fight
отдава́ть, to give
семейный, family
тяжело́, hard
остановить, stop
пала́та, chamber
потребность, need
приобрести, buy
включи́ть, enable
ноя́брь, November
увеличение, increase
продолжа́ться, continue
дура́к, fool
осторо́жно, carefully
поездка, trip
обе́д, lunch
подтвердить, confirm
потеря, loss
природный, natural
спеши́ть, hurry
февра́ль, February
доби́ться, to achieve
мероприятие, the event
парк, Park
принятие, the adoption of
устройство, device
вещество, substance
впереди́, ahead
навсегда́, forever
отпра́вить, send
поверну́ться, turn
категория, category
правосла́вный, Orthodox
сезо́н, season
учебный, training
встава́ть, stand
подготовить, to prepare
исходи́ть, come
гости́ница, hotel
издание, edition
эффективный, effective
не́чего, nothing
свидетельствовать, to testify
ввести, to enter
бра́ться, take
объединение, Association
чита́ть, read
темнота, darkness
челове́чество, humanity
боле́ть, ill
верну́ть, return
тянуть, pull
колесо, wheel
опасность, danger
продать, sell
разрешение, resolution
воздействие, impact
коллектив, team
камера, Luggage
внима́тельно, carefully
запас, stock
представля́ться, introduce yourself
следствие, the consequence
длина, length
материальный, material
невозможный, impossible
крыло, wing
округ, district
произвести́, to produce
фон, background
кандидат, candidate
ро́дственник, relative
полтора́, half
прекра́сно, well
вы́ступить, to speak
давление, pressure
па́хнуть, smell
познакомиться, to meet
присутствие, the presence of
взаимодействие, interaction
гро́мко, loud
доска, Board
наступи́ть, step
партнер, partner
двигатель, engine
шум, noise
достоинство, dignity
предстоя́ть, to stand
вдоль, along
гре́х, sin
го́споди, Lord
нож, knife
полет, flight
производить, to produce
ра́нее, previously
стра́сть, passion
перевести, translate
разрешить, allow
соседний, neighboring
психологический, psychological
испытание, test
проверить, check
меняться, to change
оплата, payment
разница, the difference
соответственно, accordingly
водитель, driver
музыка́льный, music
куда́-то, somewhere
пакет, package
снижение, reduction
выдержать, to withstand
формула, the formula
ва́жно, it is important
живо́т, belly
капитал, capital
учитывать, to consider
кури́ть, Smoking
го́лый, naked
забыва́ть, forget
заключа́ться, be
мост, bridge
обязательный, mandatory
све́рху, top
но́вость, news
эффект, effect
вход, entrance
выбирать, to choose
губерна́тор, Governor
исполни́тельный, Executive
како́й-нибудь, any
напомина́ть, to remind
парти́йный, party
доклад, report
закрича́ть, to scream
организова́ть, to organize
смена, change
уби́йство, murder
эксперт, expert
вон, there
доказать, to prove
раз, once
ре́дко, rarely
существенный, significant
приносить, bring
автобус, bus
пла́тье, dress
осуществля́ться, be
че́стно, honestly
поми́мо, in addition to
кадр, frame
ой, Oh
тетя, aunt
восто́чный, Eastern
дыша́ть, breathe
общение, communication
описать, describe
психология, psychology
лев, lion
тако́в, this is
порог, the threshold
проверка, check
прожива́ть, to live
процедура, procedure
рабочий, work
ремонт, repair
се́льский, rural
характерный, typical
обращение, treatment
обучение, training
неожиданный, unexpected
